fold,target_date,top_k,overlap_count,top_k_accuracy,mean_top10_rank_error,median_top10_rank_error,top10_volume_capture,overall_rank_correlation,actual_cutoff_tie
3,2025-04-28,10,8,0.8,2.0,1.5,0.9686746987951808,0.94998308160817,False
3,2025-04-29,10,9,0.9,1.0,1.0,0.9953703703703703,0.9371251038174044,False
3,2025-04-30,10,8,0.8,2.2,2.0,0.9790697674418605,0.9490602602356271,False
3,2025-05-01,10,8,0.8,1.6,1.0,0.9851851851851852,0.9063028699744686,False
3,2025-05-02,10,8,0.8,1.5,1.0,0.988399071925754,0.9157771693992433,False
3,2025-05-03,10,8,0.8,1.3,0.5,0.9736147757255936,0.9269125472945954,False
3,2025-05-04,10,9,0.9,2.5,1.0,0.9830985915492958,0.9164539050724415,False
3,2025-05-05,10,9,0.9,2.0,1.5,0.969626168224299,0.9330646897782152,True
3,2025-05-06,10,8,0.8,2.1,1.0,0.9772727272727273,0.9555815312682642,True
3,2025-05-07,10,8,0.8,2.1,1.5,0.9891774891774892,0.9229751761050786,False
3,2025-05-08,10,7,0.7,3.0,1.0,0.9563218390804598,0.9431542034513519,False
3,2025-05-09,10,8,0.8,2.3,1.0,0.9773755656108597,0.9444461533729122,True
3,2025-05-10,10,8,0.8,2.5,0.5,0.9319899244332494,0.8774493217262912,False
3,2025-05-11,10,9,0.9,1.8,1.0,0.9884057971014493,0.9231597403795871,False
3,2025-05-12,10,9,0.9,2.4,1.0,0.9904988123515439,0.9275892829677935,True
3,2025-05-13,10,9,0.9,2.7,1.0,0.9756637168141593,0.9430926820265157,False
3,2025-05-14,10,8,0.8,1.7,1.0,0.9503386004514672,0.9296810114122243,True
4,2025-05-15,10,8,0.8,1.9,1.5,0.9696202531645569,0.9089482912424252,False
4,2025-05-16,10,9,0.9,1.3,1.0,0.9861111111111112,0.9240825617521302,False
4,2025-05-17,10,9,0.9,3.2,3.0,0.932475884244373,0.9232212618044234,False
4,2025-05-18,10,9,0.9,0.9,1.0,0.9914529914529915,0.9160232550985881,False
4,2025-05-19,10,9,0.9,1.1,0.5,0.9734939759036144,0.9456150604447999,False
4,2025-05-20,10,8,0.8,2.3,2.0,0.9785202863961814,0.9541050170721954,True
4,2025-05-21,10,7,0.7,2.7,2.5,0.9672897196261683,0.924943861699837,False
4,2025-05-22,10,9,0.9,1.7,1.0,0.9976635514018691,0.9180534621181826,False
4,2025-05-23,10,8,0.8,3.0,1.5,0.9785867237687366,0.94690701036636,False
4,2025-05-24,10,7,0.7,3.3,2.5,0.93048128342246,0.9374942323664216,False
4,2025-05-25,10,9,0.9,2.5,1.5,0.9950248756218906,0.9163923836476052,True
4,2025-05-26,10,8,0.8,2.6,2.5,0.9485861182519281,0.8800947429942477,False
4,2025-05-27,10,9,0.9,1.9,2.0,0.9808612440191388,0.9365098895690425,False
4,2025-05-28,10,7,0.7,3.1,2.0,0.9282407407407407,0.9246977760004922,False
4,2025-05-29,10,8,0.8,2.1,0.5,0.9611451942740287,0.9106093697130025,False
4,2025-05-30,10,8,0.8,2.8,1.0,0.9671179883945842,0.9368790181180596,False
4,2025-05-31,10,9,0.9,0.7,0.5,1.0,0.8969516133993664,True
4,2025-06-01,10,7,0.7,2.2,2.0,0.9242053789731052,0.9128856624319419,False
4,2025-06-02,10,9,0.9,1.5,1.0,0.9858823529411764,0.9237134332031129,False
4,2025-06-03,10,9,0.9,1.1,0.5,0.9785992217898832,0.9493063459349719,False
4,2025-06-04,10,7,0.7,2.5,1.5,0.9498910675381264,0.9395244393860162,True
4,2025-06-05,10,10,1.0,1.4,1.0,1.0,0.970346673228952,False
